Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Military expenditure (current USD),MS.MIL.XPND.CD,Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,..
Military expenditure (current USD),MS.MIL.XPND.CD,Cote d'Ivoire,CIV,143973702.091712,..,387692139.954006,357330259.014212,407596534.123237,430003643.429682,521260479.556648,569671147.180658,602538731.235354,501578732.245649,607848217.884494,..
Military expenditure (current USD),MS.MIL.XPND.CD,Croatia,HRV,..,659775033.312514,1015876653.55283,1106464041.97707,955320163.615821,956952644.05211,906625906.416005,753544947.715049,702005705.929436,784300763.138979,889523365.341169,..
Military expenditure (current USD),MS.MIL.XPND.CD,Cuba,CUB,..,..,94277533.0396476,93744493.3920705,126872246.696035,119383259.911894,125638766.519824,118370044.052863,123656387.665198,122552919.006641,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Cyprus,CYP,411409063.265004,281160374.253609,477587428.563861,479735318.444996,414496321.441512,384925361.045941,357806840.029204,327891760.008872,295355009.95355,357380920.831941,381879772.907003,..
Military expenditure (current USD),MS.MIL.XPND.CD,Czech Republic,CZE,..,1157294084.7289,2497902954.71325,2474313259.0035,2220610394.58562,2148784401.09143,2022883295.19451,1779887189.3897,1954935000.04528,2077722060.82334,2710017583.30521,..
Military expenditure (current USD),MS.MIL.XPND.CD,Denmark,DNK,2649889473.4801,2392510831.18689,4503492126.71228,4518590126.86474,4422458083.58423,4216647585.33628,4056861510.68455,3364047774.07406,3592727943.77381,3764033343.56355,4228194254.02249,..
Military expenditure (current USD),MS.MIL.XPND.CD,Djibouti,DJI,31116187.7324571,26025061.7540977,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Dominican Republic,DOM,47798904.4373805,246810843.740481,354856781.373805,348559830.088199,396187178.568069,383380254.0656,437572091.101111,458007157.526361,479722172.766986,533077263.064845,602522387.042183,..
Military expenditure (current USD),MS.MIL.XPND.CD,Ecuador,ECU,202000000,266000000,2094000000,2453700000,2589776000,2735825000,2786519000,2597510000,2513200000,2462700000,2549400000,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Egypt, Arab Rep.",EGY,2260645161.29032,2627698333.83736,4407286452.71917,4463974191.06902,4557748767.35039,4359834243.76995,5085120542.1039,5475490833.44169,4513022526.81632,2765588434.01207,3109997891.99423,..
Military expenditure (current USD),MS.MIL.XPND.CD,El Salvador,SLV,163886690.391459,110370320.284698,201000000,220700000,224300000,237500000,233900000,247700000,247600000,260900000,266460000,..
Military expenditure (current USD),MS.MIL.XPND.CD,Equatorial Guinea,GNQ,..,..,..,..,..,..,166540254.644378,..,18233154.1995723,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Eritrea,ERI,..,230670129.87013,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Estonia,EST,..,78313308.5597839,332231196.867194,389237580.888435,436852911.624656,479314460.824341,512119045.123526,463568814.461573,497653404.256057,537440226.919815,618486125.373275,..
Military expenditure (current USD),MS.MIL.XPND.CD,Eswatini,SWZ,14223211.6630336,24471060.5303012,102032174.965375,106629408.921201,90639795.2733079,86040376.7558151,81355330.9314733,73527854.0620148,72447621.0092064,88678493.7408621,87787078.5658275,..
Military expenditure (current USD),MS.MIL.XPND.CD,Ethiopia,ETH,785048309.178744,617541613.6279,303617033.089052,332441772.391593,366539017.667525,345064165.844028,414476025.830071,442551536.458039,490177248.532075,503158174.255919,496621069.677034,..
Military expenditure (current USD),MS.MIL.XPND.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Fiji,FJI,30542031.5886853,32039537.3528389,50408953.7144674,60785527.4678088,59221516.4060361,58108276.8995161,46079423.5303468,42418008.446706,42649282.3011316,45705790.3428104,48412174.6900704,..
Military expenditure (current USD),MS.MIL.XPND.CD,Finland,FIN,2141300984.18983,1558135249.67754,3717180504.76047,4099505807.28569,3943239958.16491,4161139945.21741,3985508351.98832,3399134967.28402,3415008249.65045,3429968212.30454,3849013845.1188,..
Military expenditure (current USD),MS.MIL.XPND.CD,France,FRA,42589868779.1145,33814262023.2172,61781748107.7287,64600927219.5231,60035153810.7707,62417099178.2612,63613569143.462,55342131529.3335,57358414419.1346,60417498821.8926,63799676593.1329,..
Military expenditure (current USD),MS.MIL.XPND.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Gabon,GAB,..,91295212.198164,268738503.907914,265965337.617035,278143957.126655,282163387.579953,208124753.496557,170374503.339251,202815390.680402,267430770.80282,261217395.059596,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Gambia, The",GMB,3464911.1117034,3323532.17179142,..,..,11173079.8607106,10378890.6934834,14599956.8686651,14288131.905326,..,..,11487224.9434107,..
Military expenditure (current USD),MS.MIL.XPND.CD,Georgia,GEO,..,18824291.4324173,454178215.155358,468779626.836253,491982529.358533,441878926.976772,415642426.182334,299514176.284605,315194446.322336,308227183.477565,316508368.08463,..
Military expenditure (current USD),MS.MIL.XPND.CD,Germany,DEU,42318768301.1121,28149990786.8067,46255521194.101,48140347950.5946,46470870904.8252,45930540563.148,46102673010.4001,39812576244.8708,41579494873.8205,45381722042.225,49470627810.6299,..
Military expenditure (current USD),MS.MIL.XPND.CD,Ghana,GHA,27612553.5020052,50882608.2408578,122480468.47703,234327479.578,337260972.703278,254997057.393618,252653418.995624,190515191.545575,161751874.263817,189129841.490359,218444253.592195,..
Military expenditure (current USD),MS.MIL.XPND.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Greece,GRC,3193376484.06783,4564522446.23907,8163619386.92396,7128608267.12819,5914988423.39784,5655183035.72021,5531285908.87966,4818121326.3835,4963484464.40452,5093788906.45776,5227152013.0307,..
Military expenditure (current USD),MS.MIL.XPND.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guatemala,GTM,132196105.007847,157848092.786958,169798840.125742,197433150.684228,224366543.649735,249757853.378152,245672981.791799,252455480.635391,290912704.00085,275014798.544949,278420891.52709,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guinea,GIN,..,45967931.2141144,..,..,168913357.467903,196818705.594191,196945589.753241,221414232.310207,161856744.453218,199317873.370896,209150578.316794,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guinea-Bissau,GNB,..,9531360.60766093,17129808.1679545,17519804.3512353,24491750.6811589,21710792.6483686,21470829.1617366,17036943.1059261,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guyana,GUY,3589328.49015893,12585649.2901387,31075055.4911705,32416747.5418836,33542606.6021394,35163485.7882898,39280999.1813959,46447838.1292429,51562130.8232153,59724939.4673123,59809426.6029784,..
Military expenditure (current USD),MS.MIL.XPND.CD,Haiti,HTI,2670400,..,..,..,..,51595.8474833651,53511.5950974341,73562.2968921463,64514.316605567,73613.4924622762,79690.8881656554,..
Military expenditure (current USD),MS.MIL.XPND.CD,Honduras,HND,67120949.0318533,52462396.8947113,170186979.693148,200358405.886737,212341274.317769,294917779.408168,314071900.220103,356259475.521699,363272338.525911,398460128.382474,410414895.120735,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Hungary,HUN,847389246.889926,715857664.815596,1350820413.18817,1472069831.63811,1322277702.75073,1280050962.2477,1209801890.21288,1132476291.73782,1288676093.1676,1463013911.22308,1642338440.41211,..
Military expenditure (current USD),MS.MIL.XPND.CD,Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,..
Military expenditure (current USD),MS.MIL.XPND.CD,India,IND,10537035450.0528,14287514240.7035,46090445656.5003,49633815793.7027,47216920048.2061,47403528801.4226,50914108341.0482,51295483753.9436,56637622640.8741,64559435280.6927,66510289108.4743,..
Military expenditure (current USD),MS.MIL.XPND.CD,Indonesia,IDN,1613975396.26983,1129542839.56935,4663365759.37552,5838026185.71723,6531097955.28321,8384028600.92532,6929255301.217,7639095192.9724,7385408685.34745,8178144376.79622,7437197347.73864,..
